Time,Value,Temperature,Reading
37.85,7247,86.4F,9.1
37.9,7246,86.4F,9.1
37.95,7240,86.4F,9.1
38.0,7235,86.4F,9.1
38.05,7229,86.4F,9.1
38.1,7223,86.4F,9.1
38.15,7220,86.4F,9.1
38.2,7216,86.4F,9.1
38.25,7213,86.4F,9.1
38.3,7210,86.4F,9.1
38.35,7206,86.4F,9.1
38.4,7203,86.4F,9.1
38.45,7199,86.4F,9.1
38.5,7196,86.4F,9.1
38.55,7193,86.4F,9.1
38.6,7188,86.4F,9.1
38.65,7183,86.4F,9.1
38.7,7181,86.4F,9.1
38.75,7177,86.4F,9.1
38.8,7175,86.4F,9.1
38.85,7174,86.3F,9.1
38.9,7168,86.4F,9.1
38.95,7165,86.3F,9.1
39.0,7159,86.3F,9.1
39.05,7156,86.4F,9.1
39.1,7153,86.4F,9.1
39.15,7151,86.4F,9.1
39.2,7147,86.3F,9.1
39.25,7145,86.4F,9.1
39.3,7145,86.4F,9.1
39.35,7143,86.4F,9.1
39.4,7142,86.4F,9.1
39.45,7143,86.3F,9.1
39.5,7141,86.4F,9.1
39.55,7140,86.3F,9.1
39.6,7133,86.3F,9.1
39.65,7130,86.3F,9.1
39.7,7119,86.3F,9.1
39.75,7111,86.3F,9.1
39.8,7107,86.3F,9.1
39.85,7102,86.3F,9.1
39.9,7101,86.3F,9.1
39.95,7099,86.3F,9.1
40.0,7092,86.3F,9.1
40.05,7088,86.3F,9.1
40.1,7086,86.3F,9.1
40.15,7081,86.3F,9.1
40.2,7079,86.3F,9.1
40.25,7075,86.3F,9.1
40.3,7077,86.3F,9.1
40.35,7075,86.3F,9.1
40.4,7077,86.3F,9.1
40.45,7075,86.3F,9.1
40.5,7064,86.3F,9.1
40.55,7057,86.3F,9.1
40.6,7052,86.3F,9.1
40.65,7047,86.3F,9.1
40.7,7042,86.3F,9.1
40.75,7039,86.3F,9.1
40.8,7033,86.3F,9.1
40.85,7030,86.3F,9.1
40.9,7024,86.3F,9.1
40.95,7021,86.3F,9.1
41.0,7017,86.3F,9.1
41.05,7014,86.3F,9.1
41.1,7014,86.3F,9.1
41.15,7010,86.3F,9.1
41.2,7006,86.3F,9.1
41.25,7003,86.3F,9.1
41.3,6999,86.3F,9.1
41.35,6997,86.3F,9.1
41.4,6992,86.3F,9.1
41.45,6988,86.3F,9.1
41.5,6983,86.3F,9.1
41.55,6979,86.3F,9.1
41.6,6979,86.3F,9.1
41.65,6976,86.3F,9.1
41.7,6972,86.3F,9.1
41.75,6970,86.3F,9.1
41.8,6966,86.3F,9.1
41.85,6962,86.3F,9.1
41.9,6959,86.3F,9.1
41.95,6955,86.3F,9.1
42.0,6956,86.3F,9.1
42.05,6952,86.3F,9.1
42.1,6950,86.3F,9.1
42.15,6945,86.3F,9.1
42.2,6943,86.3F,9.1
42.25,6938,86.3F,9.1
42.3,6931,86.3F,9.1
42.35,6925,86.3F,9.1
42.4,6922,86.3F,9.1
42.45,6916,86.3F,9.1
42.5,6912,86.3F,9.1
42.55,6910,86.3F,9.1
42.6,6904,86.3F,9.1
42.65,6903,86.3F,9.1
42.7,6899,86.3F,9.1
42.75,6896,86.3F,9.1
42.8,6895,86.3F,9.1
42.85,6894,86.3F,9.1
42.9,6894,86.3F,9.1
42.95,6892,86.3F,9.1
43.0,6890,86.3F,9.1
43.05,6880,86.3F,9.1
